cabassous_tatouay;Greater Naked-tailed Armadillo
capricornis_thar;Himalayan Serow
cercopithecus_preussi;Preuss's Monkey
megaptera_novaeangliae;Humpback Whale
alectrurus_tricolor;Strange-tailed Tyrant
mandrillus_leucophaeus;Drill
penelope_superciliaris;Rusty-margined Guan
rupicola_peruviana;Andean Cock-of-the-rock
alouatta_macconelli;Guyanan Red Howler
tursiops_truncatus;Common Bottlenose Dolphin
pandion_haliaetus;Osprey
eira_barbara;Tayra
anadara_similis;Similar Ark Clam
acinonyx_jubatus;Cheetah
oreotragus_oreotragus;Klipspringer
coendou_prehensilis;Brazilian Porcupine
phataginus_tricuspis;White-bellied Pangolin
eulemur_rufus;Red Lemur
campephilus_melanoleucos;Crimson-crested Woodpecker
viverra_zibetha;Large Indian Civet
euryceros_prevostii;Helmet Vanga
philantomba_monticola;Blue Duiker
hyaena_brown;Brown Hyena
cyclopes_didactylus;Silky Anteater
hippotragus_niger;Sable Antelope
lontra_longicaudis;Neotropical Otter
bertholletia_excelsa;Brazil Nut Tree
ceroxylon_quindiuense;QuindÃ­o Wax Palm
bangsia_aureocincta;Gold-ringed Tanager
salad_eru;Eru
Gnetum africanum;Eru
crocodylus_cataphractus;African Slender-snouted Crocodile
melanosuchus_niger;Black Caiman
civettictis_civetta;African Civet
alouatta_seniculus;Red Howler Monkey
rusa_unicolor;Sambar
eulemur_rubriventer;Red-bellied Lemur
gorilla_gorila;Western Gorilla
speothos_venaticus;Bush Dog
vultur_gryphus;Andean Condor
espeletia_sp;Frailejón
macaca_assamensis;Assam Macaque
diomedea_spp;Albatross
schetba_rufa;Rufous Vanga
chelonoidis_carbonaria;Red-footed Tortoise
diceros_bicornis;Black Rhinoceros
penelope_montagnii;Andean Guan
hydrochaeris_hydrochaeris;Capybara
oryx_beisa;Beisa Oryx
cercocebus_agilis;Agile Mangabey
propithecus_verreauxi;Verreaux's Sifaka
elephas_maximus;Asian Elephant
salvinia_molesta;Giant Salvinia
sylvicapra_grimmia;Common Duiker
ramphastos_tucanus;White-throated Toucan
rhizophora_mangle;Rhizophora Mangle
nandinia_binotata;African Palm Civet
muntiacus_vuquangensis;Large-antlered Muntjac
gazella_subgutturosa;Goitered Gazelle
black_agouti;Black Agouti
piliocolobus_preussi;Preuss's Red Colobus
litocranius_walleri;Gerenuk
vulpes_corsac;Corsac Fox
trachypithecus_hatinhensis;Hatinh Langur
carcharhinus_falciformis;Silky Shark
illegal_entry;Illegal Entry
hippotragus_equinus;Roan Antelope
panthera_leo;Lion
saguinus_bicolor;Pied Tamarin
pseudobatos_leucorhynchus;Smoothnose Guitarfish
tamandua_tetradactyla;Southern Tamandua
leopardus_wiedii;Margay
peltocephalus_dumerilianus;Big-headed Amazon River Turtle
dasyprocta_azarae;Azara's Agouti
ceratotherium_simum;White Rhinoceros
ophiophagus_hannah;King Cobra
physignathus_cocincinus;Chinese Water Dragon
equus_zebra;Mountain Zebra
kobus_kob;Kob
tragelaphus_scriptus;Bushbuck
podocnemis_expansa;Arrau Turtle
stenella_frontalis;Atlantic Spotted Dolphin
tragelaphus_strepsiceros;Greater Kudu
arapaima_gigas;Arapaima
cuniculus_paca;Lowland Paca
cerdocyon_thous;Crab-eating Fox
pavo_muticus;Green Peafowl
lantana_camara;Lantana
alouatta_palliata;Mantled Howler
tyto_soumagnei;Madagascar Red Owl
propithecus_candidus;Silky Sifaka
ledipochelys_olivacea;Olive Ridley Sea Turtle
procapra_gutturosa;Mongolian Gazelle
phacochoerus_africanus;Common Warthog
orycteropus_afer;Aardvark
mobula_hypostoma;Lesser Devil Ray
cephalophus_ogilbyi;Ogilby's Duiker
prolemur_simus;Greater Bamboo Lemur
penelope_jacquacu;Spix's Guan
tapirus_bairdii;Baird's Tapir
celeus_galeatus;Helmeted Woodpecker
thaumatibis_giganteax;Giant Ibis
phoenicoparrus_andinus;Andean Flamingo
varanus_salvator;Water Monitor
carcharhinus_leucas;Bull Shark
varecia_rubra;Red Ruffed Lemur
podocnemis_erythrocephala;Red-headed Amazon River Turtle
bycanistes_brevis;Silvery-cheeked Hornbill
bycanistes_subcylindricus;Black-and-white-casqued Hornbill
xenopirostris_damii;Dam's Vanga
ceiba_pentandra;Kapok Tree
ovis_ammon;Argali
capricornis_sumatraensis;Sumatran Serow
anthracoceros_albirostris;Oriental Pied Hornbill
buceros_bicornis;Great Hornbill
schetba_rufa;Rufous Vanga
elephas_maximus;Asian Elephant
salvinia_molesta;Giant Salvinia
quercus_humboldtii;Colombian Oak
dolichonyx_oryzivorus;Bobolink
cardisoma_crassum;Blue Land Crab
salvator_rufescens;Red Monitor
thalassarche_chlororhynchos;Yellow-nosed Albatross
capricornis_thar;Himalayan Serow
cichla_temensis;Speckled Peacock Bass
podocnemis_sextuberculata;Six-tubercled Amazon River Turtle
tapirus_pinchaque;Mountain Tapir
arapaima_gigas;Arapaima
ophiophagus_hannah;King Cobra
physignathus_cocincinus;Chinese Water Dragon
kobus_kob;Kob
kobus_ellipsiprymnus;Waterbuck
podocnemis_expansa;Arrau Turtle
alouatta_palliata;Mantled Howler
tyto_soumagnei;Madagascar Red Owl
ledipochelys_olivacea;Olive Ridley Sea Turtle
hyaena_rown;Spotted Hyena
hyaena_brown;Brown Hyena
pseudibis_davisoni;White-shouldered Ibis
crocodylus_cataphractus;African Slender-snouted Crocodile
diomedea_spp;Albatross
espeletia_sp;Espeletia
dasypus_novemcinctus;Nine-banded Armadillo
pygathrix_nigripes;Black-shanked Douc
propithecus_diadema;Diademed Sifaka
crocuta_crocuta;Spotted Hyena
pan_troglodytes_ellioti;Nigeria-Cameroon Chimpanzee
pseudoplatystoma_fasciatum;Barred Sorubim
cercopithecus_nictitans_nictitans;Greater Spot-nosed Monkey
ateles_hybridus_brunneus;Brown Spider Monkey
charadrius_thoracicus;Chestnut-banded Plover
perissodactyla;Odd-toed Ungulates
saccopteryx_bilineata;Greater Sac-winged Bat
astrochelys_radiata;Radiated Tortoise
commiphora;Myrrh
hippopotamidae;Hippopotamuses
coendou_prehensilis;Brazilian Porcupine
speothos_venaticus;Bush Dog
atherurus_africanus;African Brush-tailed Porcupine
proboscoidea;Elephants
penelope_purpurascens;Crested Guan
crocodylus_intermedius;Orinoco Crocodile
cetartiodactyla;Even-toed Ungulates
perissodactyl;Odd-toed Ungulates
lutjanus_argentiventris;Yellow Snapper
litopenaeus_occidentalis;Western White Shrimp
bycanistes_bucinator;Trumpeter Hornbill
mazama_rufina;Little Red Brocket
mustelus_henlei;Brown Smooth-hound
gorilla_gorilla_diehli;Cross River Gorilla
thunnus_obesus;Bigeye Tuna
cercopithecidae;Old World Monkeys
trachypithecus_germaini;Germain's Langur
psittacus_erithacus;African Grey Parrot
muntiacus_muntjak;Indian Muntjac
tragelaphus_sylvaticus;Cape Bushbuck
penelope_purpurascens;Crested Guan
herpestes_urva;Crab-eating Mongoose
trachypithecus_delacouri;Delacour's Langur
gorilla_beringei_graueri;Grauer's Gorilla
